date,state,latitude,longitude,temp_max,temp_min,temp_mean,temp_max_source,temp_min_source,temp_mean_source,precipitation,humidity,solar_radiation,data_source,temp_range,gdd,precipitation_7d_sum,heat_stress_days,et_proxy,water_availability_index,year,month,state_normalized,yield_proxy,temp_mean_main,precipitation_main,solar_radiation_main,soil_ph,Fpar,NDVI,Lai
2015-10-16,Chandigarh,29.05,76.08,36.61,20.63,,nasa_power,nasa_power,nasa_power,,36.66,15.83,nasa_power,15.98,,0.0,1,0.1583,,2015,10,Chandigarh,,,,,,,,
2015-10-17,Chandigarh,29.05,76.08,35.15,22.22,,nasa_power,nasa_power,nasa_power,,37.64,14.87,nasa_power,12.93,,0.0,1,0.1487,,2015,10,Chandigarh,,,,,,,,
2015-10-18,Chandigarh,29.05,76.08,35.96,21.97,,nasa_power,nasa_power,nasa_power,,34.57,14.97,nasa_power,13.990000000000002,,0.0,1,0.1497,,2015,10,Chandigarh,,,,,,,,
2015-10-19,Chandigarh,29.05,76.08,36.71,21.8,,nasa_power,nasa_power,nasa_power,,32.26,14.62,nasa_power,14.91,,0.0,1,0.1462,,2015,10,Chandigarh,,,,,,,,
2015-10-20,Chandigarh,29.05,76.08,36.16,23.33,,nasa_power,nasa_power,nasa_power,,32.36,15.35,nasa_power,12.829999999999998,,0.0,1,0.1535,,2015,10,Chandigarh,,,,,,,,
2015-10-21,Chandigarh,29.05,76.08,33.56,19.3,,nasa_power,nasa_power,nasa_power,,36.03,16.33,nasa_power,14.260000000000002,,0.0,0,0.1632999999999999,,2015,10,Chandigarh,,,,,,,,
2015-10-22,Chandigarh,29.05,76.08,34.0,16.3,,nasa_power,nasa_power,nasa_power,,28.5,18.15,nasa_power,17.7,,0.0,0,0.1815,,2015,10,Chandigarh,,,,,,,,
2015-10-23,Chandigarh,29.05,76.08,33.84,16.31,,nasa_power,nasa_power,nasa_power,,25.07,18.26,nasa_power,17.530000000000005,,0.0,0,0.1826,,2015,10,Chandigarh,,,,,,,,
2015-10-24,Chandigarh,29.05,76.08,34.35,18.58,,nasa_power,nasa_power,nasa_power,,25.2,16.45,nasa_power,15.770000000000003,,0.0,0,0.1645,,2015,10,Chandigarh,,,,,,,,
2015-10-25,Chandigarh,29.05,76.08,35.17,18.6,,nasa_power,nasa_power,nasa_power,,26.9,15.6,nasa_power,16.57,,0.0,1,0.156,,2015,10,Chandigarh,,,,,,,,
2015-10-26,Chandigarh,29.05,76.08,32.4,17.86,,nasa_power,nasa_power,nasa_power,,31.93,15.36,nasa_power,14.54,,0.0,0,0.1536,,2015,10,Chandigarh,,,,,,,,
2015-10-27,Chandigarh,29.05,76.08,30.39,16.32,,nasa_power,nasa_power,nasa_power,,43.63,14.88,nasa_power,14.07,,0.0,0,0.1488,,2015,10,Chandigarh,,,,,,,,
2015-10-28,Chandigarh,29.05,76.08,27.71,15.82,,nasa_power,nasa_power,nasa_power,,49.88,8.82,nasa_power,11.89,,0.0,0,0.0882,,2015,10,Chandigarh,,,,,,,,
2015-10-29,Chandigarh,29.05,76.08,29.19,14.27,,nasa_power,nasa_power,nasa_power,,54.31,14.35,nasa_power,14.920000000000002,,0.0,0,0.1435,,2015,10,Chandigarh,,,,,,,,
2015-10-30,Chandigarh,29.05,76.08,30.02,15.94,,nasa_power,nasa_power,nasa_power,,42.82,14.95,nasa_power,14.08,,0.0,0,0.1495,,2015,10,Chandigarh,,,,,,,,
2015-10-31,Chandigarh,29.05,76.08,31.28,16.57,,nasa_power,nasa_power,nasa_power,,34.09,14.81,nasa_power,14.71,,0.0,0,0.1481,,2015,10,Chandigarh,,,,,,,,
2015-11-01,Chandigarh,29.05,76.08,29.88,17.68,,nasa_power,nasa_power,nasa_power,,34.38,13.61,nasa_power,12.2,,0.0,0,0.1361,,2015,11,Chandigarh,,,,,,,,
2015-11-02,Chandigarh,29.05,76.08,30.29,18.08,,nasa_power,nasa_power,nasa_power,,37.53,11.65,nasa_power,12.21,,0.0,0,0.1165,,2015,11,Chandigarh,,,,,,,,
2015-11-03,Chandigarh,29.05,76.08,30.56,19.24,,nasa_power,nasa_power,nasa_power,,38.67,10.59,nasa_power,11.32,,0.0,0,0.1059,,2015,11,Chandigarh,,,,,,,,
