date,state,latitude,longitude,temp_max,temp_min,temp_mean,temp_max_source,temp_min_source,temp_mean_source,precipitation,humidity,solar_radiation
20151016,Bhopal,23.25,77.42,32.08,19.59,,nasa_power,nasa_power,nasa_power,,66.66,19.55
20151017,Bhopal,23.25,77.42,32.9,19.66,,nasa_power,nasa_power,nasa_power,,56.17,19.47
20151018,Bhopal,23.25,77.42,34.22,18.93,,nasa_power,nasa_power,nasa_power,,52.47,18.54
20151019,Bhopal,23.25,77.42,34.59,20.61,,nasa_power,nasa_power,nasa_power,,51.05,17.78
20151020,Bhopal,23.25,77.42,33.77,20.06,,nasa_power,nasa_power,nasa_power,,56.36,16.71
20151021,Bhopal,23.25,77.42,33.36,20.98,,nasa_power,nasa_power,nasa_power,,55.88,15.83
20151022,Bhopal,23.25,77.42,33.39,21.35,,nasa_power,nasa_power,nasa_power,,55.9,13.8
20151023,Bhopal,23.25,77.42,33.58,19.71,,nasa_power,nasa_power,nasa_power,,54.5,18.11
20151024,Bhopal,23.25,77.42,33.33,19.36,,nasa_power,nasa_power,nasa_power,,52.53,17.59
20151025,Bhopal,23.25,77.42,33.38,20.32,,nasa_power,nasa_power,nasa_power,,57.57,15.7
20151026,Bhopal,23.25,77.42,28.39,20.69,,nasa_power,nasa_power,nasa_power,,74.05,10.11
20151027,Bhopal,23.25,77.42,31.88,20.19,,nasa_power,nasa_power,nasa_power,,66.76,10.5
20151028,Bhopal,23.25,77.42,29.77,19.49,,nasa_power,nasa_power,nasa_power,,66.36,13.64
20151029,Bhopal,23.25,77.42,27.37,17.02,,nasa_power,nasa_power,nasa_power,,72.2,9.68
20151030,Bhopal,23.25,77.42,27.41,15.43,,nasa_power,nasa_power,nasa_power,,69.65,18.28
20151031,Bhopal,23.25,77.42,28.25,14.09,,nasa_power,nasa_power,nasa_power,,69.51,16.23
20151101,Bhopal,23.25,77.42,29.06,16.58,,nasa_power,nasa_power,nasa_power,,72.26,16.96
20151102,Bhopal,23.25,77.42,29.98,15.99,,nasa_power,nasa_power,nasa_power,,68.4,16.31
20151103,Bhopal,23.25,77.42,30.58,17.11,,nasa_power,nasa_power,nasa_power,,64.11,15.73
20151104,Bhopal,23.25,77.42,31.19,19.63,,nasa_power,nasa_power,nasa_power,,57.86,15.07
20151105,Bhopal,23.25,77.42,31.68,19.52,,nasa_power,nasa_power,nasa_power,,52.31,14.8
20151106,Bhopal,23.25,77.42,32.09,21.33,,nasa_power,nasa_power,nasa_power,,48.01,16.37
20151107,Bhopal,23.25,77.42,32.13,20.97,,nasa_power,nasa_power,nasa_power,,51.71,15.76
20151108,Bhopal,23.25,77.42,31.39,19.6,,nasa_power,nasa_power,nasa_power,,57.06,14.69
20151109,Bhopal,23.25,77.42,31.26,20.14,,nasa_power,nasa_power,nasa_power,,58.21,14.2
20151110,Bhopal,23.25,77.42,31.11,18.31,,nasa_power,nasa_power,nasa_power,,58.46,14.13
20151111,Bhopal,23.25,77.42,32.16,20.76,,nasa_power,nasa_power,nasa_power,,53.8,14.36
20151112,Bhopal,23.25,77.42,32.05,17.38,,nasa_power,nasa_power,nasa_power,,59.41,15.79
20151113,Bhopal,23.25,77.42,30.96,16.52,,nasa_power,nasa_power,nasa_power,,57.81,15.74
20151114,Bhopal,23.25,77.42,32.13,17.75,,nasa_power,nasa_power,nasa_power,,51.59,16.48
20151115,Bhopal,23.25,77.42,32.14,17.55,,nasa_power,nasa_power,nasa_power,,49.71,16.76
20151116,Bhopal,23.25,77.42,31.66,17.93,,nasa_power,nasa_power,nasa_power,,43.68,16.78
20151117,Bhopal,23.25,77.42,30.96,14.89,,nasa_power,nasa_power,nasa_power,,50.24,16.55
20151118,Bhopal,23.25,77.42,29.83,13.33,,nasa_power,nasa_power,nasa_power,,50.84,16.66
20151119,Bhopal,23.25,77.42,30.35,11.61,,nasa_power,nasa_power,nasa_power,,42.65,17.33
20151120,Bhopal,23.25,77.42,30.34,11.81,,nasa_power,nasa_power,nasa_power,,45.1,16.86
20151121,Bhopal,23.25,77.42,30.3,12.49,,nasa_power,nasa_power,nasa_power,,49.71,16.37
20151122,Bhopal,23.25,77.42,30.13,14.7,,nasa_power,nasa_power,nasa_power,,48.47,13.42
20151123,Bhopal,23.25,77.42,28.84,16.09,,nasa_power,nasa_power,nasa_power,,48.9,14.01
20151124,Bhopal,23.25,77.42,26.7,17.31,,nasa_power,nasa_power,nasa_power,,52.1,12.63
20151125,Bhopal,23.25,77.42,30.85,15.82,,nasa_power,nasa_power,nasa_power,,42.84,15.03
20151126,Bhopal,23.25,77.42,31.54,14.63,,nasa_power,nasa_power,nasa_power,,38.92,15.25
20151127,Bhopal,23.25,77.42,29.58,16.01,,nasa_power,nasa_power,nasa_power,,39.75,14.38
20151128,Bhopal,23.25,77.42,28.47,15.05,,nasa_power,nasa_power,nasa_power,,32.22,7.03
20151129,Bhopal,23.25,77.42,29.8,16.32,,nasa_power,nasa_power,nasa_power,,52.08,10.97
20151130,Bhopal,23.25,77.42,31.64,18.42,,nasa_power,nasa_power,nasa_power,,57.59,12.54
20151201,Bhopal,23.25,77.42,32.7,17.72,,nasa_power,nasa_power,nasa_power,,45.98,14.29
20151202,Bhopal,23.25,77.42,31.63,18.98,,nasa_power,nasa_power,nasa_power,,44.34,13.58
20151203,Bhopal,23.25,77.42,29.46,13.77,,nasa_power,nasa_power,nasa_power,,46.22,13.86
20151204,Bhopal,23.25,77.42,29.0,11.8,,nasa_power,nasa_power,nasa_power,,43.47,15.25
20151205,Bhopal,23.25,77.42,30.52,11.19,,nasa_power,nasa_power,nasa_power,,33.76,16.78
20151206,Bhopal,23.25,77.42,30.29,10.92,,nasa_power,nasa_power,nasa_power,,33.93,17.3
20151207,Bhopal,23.25,77.42,30.06,11.16,,nasa_power,nasa_power,nasa_power,,32.32,17.11
20151208,Bhopal,23.25,77.42,30.55,11.27,,nasa_power,nasa_power,nasa_power,,29.24,16.79
20151209,Bhopal,23.25,77.42,30.37,10.9,,nasa_power,nasa_power,nasa_power,,28.65,16.3
20151210,Bhopal,23.25,77.42,31.28,14.96,,nasa_power,nasa_power,nasa_power,,29.9,13.42
20151211,Bhopal,23.25,77.42,29.48,15.18,,nasa_power,nasa_power,nasa_power,,35.47,15.45
20151212,Bhopal,23.25,77.42,28.0,10.77,,nasa_power,nasa_power,nasa_power,,29.56,16.09
20151213,Bhopal,23.25,77.42,27.61,8.6,,nasa_power,nasa_power,nasa_power,,29.53,15.49
20151214,Bhopal,23.25,77.42,26.36,10.11,,nasa_power,nasa_power,nasa_power,,29.41,15.89
20151215,Bhopal,23.25,77.42,26.2,6.55,,nasa_power,nasa_power,nasa_power,,21.54,17.26
20151216,Bhopal,23.25,77.42,28.04,6.73,,nasa_power,nasa_power,nasa_power,,23.58,16.14
20151217,Bhopal,23.25,77.42,27.68,9.8,,nasa_power,nasa_power,nasa_power,,22.82,15.77
20151218,Bhopal,23.25,77.42,25.43,7.62,,nasa_power,nasa_power,nasa_power,,25.96,16.37
20151219,Bhopal,23.25,77.42,26.66,6.48,,nasa_power,nasa_power,nasa_power,,25.26,15.89
20151220,Bhopal,23.25,77.42,27.85,8.86,,nasa_power,nasa_power,nasa_power,,29.15,14.51
20151221,Bhopal,23.25,77.42,26.05,7.95,,nasa_power,nasa_power,nasa_power,,28.03,14.88
20151222,Bhopal,23.25,77.42,25.38,7.17,,nasa_power,nasa_power,nasa_power,,30.04,14.84
20151223,Bhopal,23.25,77.42,23.95,6.95,,nasa_power,nasa_power,nasa_power,,28.36,14.51
20151224,Bhopal,23.25,77.42,22.87,6.86,,nasa_power,nasa_power,nasa_power,,30.19,13.7
20151225,Bhopal,23.25,77.42,23.93,5.67,,nasa_power,nasa_power,nasa_power,,29.91,15.84
20151226,Bhopal,23.25,77.42,25.23,6.78,,nasa_power,nasa_power,nasa_power,,22.51,16.53
20151227,Bhopal,23.25,77.42,28.84,10.24,,nasa_power,nasa_power,nasa_power,,21.11,16.23
20151228,Bhopal,23.25,77.42,30.75,13.46,,nasa_power,nasa_power,nasa_power,,21.45,16.8
20151229,Bhopal,23.25,77.42,31.87,14.07,,nasa_power,nasa_power,nasa_power,,24.66,16.47
20151230,Bhopal,23.25,77.42,31.83,15.24,,nasa_power,nasa_power,nasa_power,,24.67,16.61
20151231,Bhopal,23.25,77.42,31.45,12.73,,nasa_power,nasa_power,nasa_power,,31.57,16.06
20160101,Bhopal,23.25,77.42,29.97,11.94,,nasa_power,nasa_power,nasa_power,,32.76,16.17
20160102,Bhopal,23.25,77.42,28.65,11.18,,nasa_power,nasa_power,nasa_power,,30.77,14.98
20160103,Bhopal,23.25,77.42,27.93,11.07,,nasa_power,nasa_power,nasa_power,,30.76,14.99
20160104,Bhopal,23.25,77.42,28.74,10.5,,nasa_power,nasa_power,nasa_power,,26.03,15.84
20160105,Bhopal,23.25,77.42,29.18,11.27,,nasa_power,nasa_power,nasa_power,,25.77,16.37
20160106,Bhopal,23.25,77.42,29.79,12.61,,nasa_power,nasa_power,nasa_power,,25.23,16.36
20160107,Bhopal,23.25,77.42,29.49,13.3,,nasa_power,nasa_power,nasa_power,,33.78,16.07
20160108,Bhopal,23.25,77.42,28.9,15.0,,nasa_power,nasa_power,nasa_power,,35.47,15.55
20160109,Bhopal,23.25,77.42,27.47,11.91,,nasa_power,nasa_power,nasa_power,,34.24,16.26
20160110,Bhopal,23.25,77.42,27.84,10.49,,nasa_power,nasa_power,nasa_power,,22.46,17.13
20160111,Bhopal,23.25,77.42,28.77,10.34,,nasa_power,nasa_power,nasa_power,,19.55,17.38
20160112,Bhopal,23.25,77.42,29.0,11.24,,nasa_power,nasa_power,nasa_power,,22.78,16.01
20160113,Bhopal,23.25,77.42,29.28,13.22,,nasa_power,nasa_power,nasa_power,,29.5,13.67
20160114,Bhopal,23.25,77.42,29.08,12.97,,nasa_power,nasa_power,nasa_power,,33.99,14.55
20160115,Bhopal,23.25,77.42,28.95,12.69,,nasa_power,nasa_power,nasa_power,,40.48,12.8
20160116,Bhopal,23.25,77.42,27.46,11.97,,nasa_power,nasa_power,nasa_power,,40.21,11.7
20160117,Bhopal,23.25,77.42,24.57,12.64,,nasa_power,nasa_power,nasa_power,,47.09,9.44
20160118,Bhopal,23.25,77.42,24.59,12.68,,nasa_power,nasa_power,nasa_power,,76.03,10.53
20160119,Bhopal,23.25,77.42,22.8,9.73,,nasa_power,nasa_power,nasa_power,,79.13,3.78
20160120,Bhopal,23.25,77.42,21.04,7.04,,nasa_power,nasa_power,nasa_power,,60.59,14.17
20160121,Bhopal,23.25,77.42,22.12,8.02,,nasa_power,nasa_power,nasa_power,,41.05,16.92
20160122,Bhopal,23.25,77.42,22.44,5.3,,nasa_power,nasa_power,nasa_power,,37.18,18.54
20160123,Bhopal,23.25,77.42,24.48,4.4,,nasa_power,nasa_power,nasa_power,,38.06,19.11
20160124,Bhopal,23.25,77.42,26.04,5.94,,nasa_power,nasa_power,nasa_power,,37.03,19.14
