date,state,latitude,longitude,temp_max,temp_min,temp_mean,temp_max_source,temp_min_source,temp_mean_source,precipitation,humidity,solar_radiation
20151016,Chandigarh,29.05,76.08,36.61,20.63,,nasa_power,nasa_power,nasa_power,,36.66,15.83
20151017,Chandigarh,29.05,76.08,35.15,22.22,,nasa_power,nasa_power,nasa_power,,37.64,14.87
20151018,Chandigarh,29.05,76.08,35.96,21.97,,nasa_power,nasa_power,nasa_power,,34.57,14.97
20151019,Chandigarh,29.05,76.08,36.71,21.8,,nasa_power,nasa_power,nasa_power,,32.26,14.62
20151020,Chandigarh,29.05,76.08,36.16,23.33,,nasa_power,nasa_power,nasa_power,,32.36,15.35
20151021,Chandigarh,29.05,76.08,33.56,19.3,,nasa_power,nasa_power,nasa_power,,36.03,16.33
20151022,Chandigarh,29.05,76.08,34.0,16.3,,nasa_power,nasa_power,nasa_power,,28.5,18.15
20151023,Chandigarh,29.05,76.08,33.84,16.31,,nasa_power,nasa_power,nasa_power,,25.07,18.26
20151024,Chandigarh,29.05,76.08,34.35,18.58,,nasa_power,nasa_power,nasa_power,,25.2,16.45
20151025,Chandigarh,29.05,76.08,35.17,18.6,,nasa_power,nasa_power,nasa_power,,26.9,15.6
20151026,Chandigarh,29.05,76.08,32.4,17.86,,nasa_power,nasa_power,nasa_power,,31.93,15.36
20151027,Chandigarh,29.05,76.08,30.39,16.32,,nasa_power,nasa_power,nasa_power,,43.63,14.88
20151028,Chandigarh,29.05,76.08,27.71,15.82,,nasa_power,nasa_power,nasa_power,,49.88,8.82
20151029,Chandigarh,29.05,76.08,29.19,14.27,,nasa_power,nasa_power,nasa_power,,54.31,14.35
20151030,Chandigarh,29.05,76.08,30.02,15.94,,nasa_power,nasa_power,nasa_power,,42.82,14.95
20151031,Chandigarh,29.05,76.08,31.28,16.57,,nasa_power,nasa_power,nasa_power,,34.09,14.81
20151101,Chandigarh,29.05,76.08,29.88,17.68,,nasa_power,nasa_power,nasa_power,,34.38,13.61
20151102,Chandigarh,29.05,76.08,30.29,18.08,,nasa_power,nasa_power,nasa_power,,37.53,11.65
20151103,Chandigarh,29.05,76.08,30.56,19.24,,nasa_power,nasa_power,nasa_power,,38.67,10.59
20151104,Chandigarh,29.05,76.08,31.49,17.11,,nasa_power,nasa_power,nasa_power,,40.17,9.63
20151105,Chandigarh,29.05,76.08,30.76,18.99,,nasa_power,nasa_power,nasa_power,,38.77,12.05
20151106,Chandigarh,29.05,76.08,29.7,17.28,,nasa_power,nasa_power,nasa_power,,35.52,11.87
20151107,Chandigarh,29.05,76.08,29.04,14.87,,nasa_power,nasa_power,nasa_power,,35.7,10.14
20151108,Chandigarh,29.05,76.08,28.57,16.79,,nasa_power,nasa_power,nasa_power,,41.96,7.35
20151109,Chandigarh,29.05,76.08,30.75,16.7,,nasa_power,nasa_power,nasa_power,,42.78,10.83
20151110,Chandigarh,29.05,76.08,29.99,17.31,,nasa_power,nasa_power,nasa_power,,43.32,11.01
20151111,Chandigarh,29.05,76.08,30.52,14.83,,nasa_power,nasa_power,nasa_power,,38.32,14.71
20151112,Chandigarh,29.05,76.08,30.55,14.48,,nasa_power,nasa_power,nasa_power,,40.65,14.92
20151113,Chandigarh,29.05,76.08,30.87,15.36,,nasa_power,nasa_power,nasa_power,,40.19,12.63
20151114,Chandigarh,29.05,76.08,30.53,17.05,,nasa_power,nasa_power,nasa_power,,47.45,12.92
20151115,Chandigarh,29.05,76.08,31.1,17.86,,nasa_power,nasa_power,nasa_power,,35.23,13.19
20151116,Chandigarh,29.05,76.08,29.47,16.19,,nasa_power,nasa_power,nasa_power,,36.05,13.12
20151117,Chandigarh,29.05,76.08,29.1,11.32,,nasa_power,nasa_power,nasa_power,,24.27,15.87
20151118,Chandigarh,29.05,76.08,28.78,11.09,,nasa_power,nasa_power,nasa_power,,25.02,14.86
20151119,Chandigarh,29.05,76.08,28.61,13.21,,nasa_power,nasa_power,nasa_power,,22.72,13.99
20151120,Chandigarh,29.05,76.08,28.92,14.58,,nasa_power,nasa_power,nasa_power,,23.53,13.79
20151121,Chandigarh,29.05,76.08,29.02,13.8,,nasa_power,nasa_power,nasa_power,,27.78,14.04
20151122,Chandigarh,29.05,76.08,28.98,13.04,,nasa_power,nasa_power,nasa_power,,25.93,13.35
