date,state,latitude,longitude,temp_max,temp_min,temp_mean,temp_max_source,temp_min_source,temp_mean_source,precipitation,humidity,solar_radiation
20151016,Lucknow,26.85,80.92,35.84,22.52,,nasa_power,nasa_power,nasa_power,,48.32,17.81
20151017,Lucknow,26.85,80.92,36.43,21.89,,nasa_power,nasa_power,nasa_power,,43.41,17.25
20151018,Lucknow,26.85,80.92,37.03,23.16,,nasa_power,nasa_power,nasa_power,,39.47,16.27
20151019,Lucknow,26.85,80.92,36.4,22.35,,nasa_power,nasa_power,nasa_power,,38.27,16.3
20151020,Lucknow,26.85,80.92,37.49,22.0,,nasa_power,nasa_power,nasa_power,,35.4,15.09
20151021,Lucknow,26.85,80.92,37.29,21.27,,nasa_power,nasa_power,nasa_power,,36.92,15.45
20151022,Lucknow,26.85,80.92,36.17,20.82,,nasa_power,nasa_power,nasa_power,,32.93,15.29
20151023,Lucknow,26.85,80.92,35.51,17.42,,nasa_power,nasa_power,nasa_power,,25.77,17.44
20151024,Lucknow,26.85,80.92,36.08,17.79,,nasa_power,nasa_power,nasa_power,,24.87,16.95
20151025,Lucknow,26.85,80.92,36.18,18.41,,nasa_power,nasa_power,nasa_power,,27.88,15.62
20151026,Lucknow,26.85,80.92,34.99,18.0,,nasa_power,nasa_power,nasa_power,,32.84,10.3
20151027,Lucknow,26.85,80.92,34.53,18.81,,nasa_power,nasa_power,nasa_power,,38.48,15.16
20151028,Lucknow,26.85,80.92,32.63,17.75,,nasa_power,nasa_power,nasa_power,,41.2,2.83
20151029,Lucknow,26.85,80.92,29.31,19.27,,nasa_power,nasa_power,nasa_power,,50.95,12.46
20151030,Lucknow,26.85,80.92,30.04,16.63,,nasa_power,nasa_power,nasa_power,,48.78,16.15
20151031,Lucknow,26.85,80.92,32.54,17.76,,nasa_power,nasa_power,nasa_power,,40.15,17.0
20151101,Lucknow,26.85,80.92,33.1,18.03,,nasa_power,nasa_power,nasa_power,,37.0,16.19
20151102,Lucknow,26.85,80.92,33.62,19.99,,nasa_power,nasa_power,nasa_power,,35.86,16.05
20151103,Lucknow,26.85,80.92,33.02,18.02,,nasa_power,nasa_power,nasa_power,,39.81,14.81
20151104,Lucknow,26.85,80.92,32.92,18.54,,nasa_power,nasa_power,nasa_power,,39.86,13.53
20151105,Lucknow,26.85,80.92,34.27,20.38,,nasa_power,nasa_power,nasa_power,,38.47,12.37
20151106,Lucknow,26.85,80.92,33.63,21.32,,nasa_power,nasa_power,nasa_power,,36.89,13.61
20151107,Lucknow,26.85,80.92,33.48,19.87,,nasa_power,nasa_power,nasa_power,,36.03,13.28
20151108,Lucknow,26.85,80.92,32.28,20.98,,nasa_power,nasa_power,nasa_power,,37.96,12.8
20151109,Lucknow,26.85,80.92,33.5,20.76,,nasa_power,nasa_power,nasa_power,,35.1,12.5
20151110,Lucknow,26.85,80.92,33.22,18.52,,nasa_power,nasa_power,nasa_power,,35.91,11.98
20151111,Lucknow,26.85,80.92,33.1,18.6,,nasa_power,nasa_power,nasa_power,,40.06,12.66
20151112,Lucknow,26.85,80.92,32.3,15.7,,nasa_power,nasa_power,nasa_power,,32.92,14.28
20151113,Lucknow,26.85,80.92,32.89,16.47,,nasa_power,nasa_power,nasa_power,,38.57,13.78
20151114,Lucknow,26.85,80.92,32.62,17.62,,nasa_power,nasa_power,nasa_power,,40.89,11.96
20151115,Lucknow,26.85,80.92,33.25,17.97,,nasa_power,nasa_power,nasa_power,,41.52,12.4
20151116,Lucknow,26.85,80.92,32.98,18.08,,nasa_power,nasa_power,nasa_power,,37.51,13.46
20151117,Lucknow,26.85,80.92,32.35,17.57,,nasa_power,nasa_power,nasa_power,,29.65,12.51
20151118,Lucknow,26.85,80.92,30.82,12.83,,nasa_power,nasa_power,nasa_power,,21.95,14.79
20151119,Lucknow,26.85,80.92,30.73,15.53,,nasa_power,nasa_power,nasa_power,,26.24,13.76
20151120,Lucknow,26.85,80.92,31.07,15.62,,nasa_power,nasa_power,nasa_power,,28.41,13.44
20151121,Lucknow,26.85,80.92,30.7,15.89,,nasa_power,nasa_power,nasa_power,,30.16,12.17
20151122,Lucknow,26.85,80.92,29.86,15.1,,nasa_power,nasa_power,nasa_power,,33.45,11.48
20151123,Lucknow,26.85,80.92,31.11,16.84,,nasa_power,nasa_power,nasa_power,,33.45,11.36
20151124,Lucknow,26.85,80.92,30.52,15.63,,nasa_power,nasa_power,nasa_power,,30.84,10.92
20151125,Lucknow,26.85,80.92,30.19,13.62,,nasa_power,nasa_power,nasa_power,,28.13,12.54
20151126,Lucknow,26.85,80.92,29.89,15.04,,nasa_power,nasa_power,nasa_power,,33.54,13.15
20151127,Lucknow,26.85,80.92,30.39,18.82,,nasa_power,nasa_power,nasa_power,,33.67,11.09
20151128,Lucknow,26.85,80.92,28.41,18.28,,nasa_power,nasa_power,nasa_power,,38.28,8.4
20151129,Lucknow,26.85,80.92,30.54,18.91,,nasa_power,nasa_power,nasa_power,,43.29,7.99
20151130,Lucknow,26.85,80.92,31.74,18.39,,nasa_power,nasa_power,nasa_power,,47.35,9.81
20151201,Lucknow,26.85,80.92,31.15,16.91,,nasa_power,nasa_power,nasa_power,,45.76,10.16
20151202,Lucknow,26.85,80.92,27.28,16.05,,nasa_power,nasa_power,nasa_power,,58.1,8.59
20151203,Lucknow,26.85,80.92,28.25,15.47,,nasa_power,nasa_power,nasa_power,,45.92,11.31
20151204,Lucknow,26.85,80.92,26.84,12.32,,nasa_power,nasa_power,nasa_power,,43.37,11.54
20151205,Lucknow,26.85,80.92,27.44,12.7,,nasa_power,nasa_power,nasa_power,,38.61,10.9
20151206,Lucknow,26.85,80.92,27.15,13.12,,nasa_power,nasa_power,nasa_power,,34.96,9.27
20151207,Lucknow,26.85,80.92,26.93,13.23,,nasa_power,nasa_power,nasa_power,,36.33,8.37
20151208,Lucknow,26.85,80.92,27.08,12.24,,nasa_power,nasa_power,nasa_power,,35.96,9.23
20151209,Lucknow,26.85,80.92,27.12,12.58,,nasa_power,nasa_power,nasa_power,,36.69,10.51
20151210,Lucknow,26.85,80.92,28.86,13.13,,nasa_power,nasa_power,nasa_power,,34.34,11.25
20151211,Lucknow,26.85,80.92,28.45,14.3,,nasa_power,nasa_power,nasa_power,,37.31,10.31
20151212,Lucknow,26.85,80.92,25.86,12.1,,nasa_power,nasa_power,nasa_power,,36.64,8.29
20151213,Lucknow,26.85,80.92,24.19,8.3,,nasa_power,nasa_power,nasa_power,,39.03,10.17
20151214,Lucknow,26.85,80.92,23.35,8.0,,nasa_power,nasa_power,nasa_power,,37.18,11.57
20151215,Lucknow,26.85,80.92,23.69,7.1,,nasa_power,nasa_power,nasa_power,,28.4,12.35
20151216,Lucknow,26.85,80.92,25.14,7.78,,nasa_power,nasa_power,nasa_power,,25.37,11.47
20151217,Lucknow,26.85,80.92,24.37,9.01,,nasa_power,nasa_power,nasa_power,,24.06,9.5
20151218,Lucknow,26.85,80.92,23.32,6.81,,nasa_power,nasa_power,nasa_power,,27.47,11.25
20151219,Lucknow,26.85,80.92,23.97,6.03,,nasa_power,nasa_power,nasa_power,,24.53,12.56
20151220,Lucknow,26.85,80.92,23.0,10.35,,nasa_power,nasa_power,nasa_power,,21.96,11.22
20151221,Lucknow,26.85,80.92,22.0,6.23,,nasa_power,nasa_power,nasa_power,,25.48,10.83
20151222,Lucknow,26.85,80.92,22.38,9.25,,nasa_power,nasa_power,nasa_power,,25.07,9.41
20151223,Lucknow,26.85,80.92,22.56,7.3,,nasa_power,nasa_power,nasa_power,,32.05,9.42
20151224,Lucknow,26.85,80.92,23.37,6.74,,nasa_power,nasa_power,nasa_power,,28.95,10.03
20151225,Lucknow,26.85,80.92,23.33,5.68,,nasa_power,nasa_power,nasa_power,,24.67,13.69
20151226,Lucknow,26.85,80.92,24.03,5.95,,nasa_power,nasa_power,nasa_power,,18.86,13.55
20151227,Lucknow,26.85,80.92,27.06,8.22,,nasa_power,nasa_power,nasa_power,,18.56,12.57
20151228,Lucknow,26.85,80.92,27.36,9.84,,nasa_power,nasa_power,nasa_power,,29.37,13.28
20151229,Lucknow,26.85,80.92,28.07,10.83,,nasa_power,nasa_power,nasa_power,,30.54,13.56
20151230,Lucknow,26.85,80.92,27.59,11.48,,nasa_power,nasa_power,nasa_power,,24.18,13.39
20151231,Lucknow,26.85,80.92,27.36,11.69,,nasa_power,nasa_power,nasa_power,,26.51,10.52
20160101,Lucknow,26.85,80.92,27.03,11.96,,nasa_power,nasa_power,nasa_power,,21.28,14.34
20160102,Lucknow,26.85,80.92,26.77,10.22,,nasa_power,nasa_power,nasa_power,,21.34,12.57
20160103,Lucknow,26.85,80.92,25.73,8.63,,nasa_power,nasa_power,nasa_power,,20.71,11.4
20160104,Lucknow,26.85,80.92,25.82,9.55,,nasa_power,nasa_power,nasa_power,,21.84,10.44
20160105,Lucknow,26.85,80.92,27.89,12.29,,nasa_power,nasa_power,nasa_power,,23.31,10.13
20160106,Lucknow,26.85,80.92,28.32,14.36,,nasa_power,nasa_power,nasa_power,,30.63,10.48
20160107,Lucknow,26.85,80.92,28.4,11.83,,nasa_power,nasa_power,nasa_power,,32.9,11.0
20160108,Lucknow,26.85,80.92,27.72,12.52,,nasa_power,nasa_power,nasa_power,,37.87,10.56
20160109,Lucknow,26.85,80.92,25.91,10.81,,nasa_power,nasa_power,nasa_power,,32.67,13.98
20160110,Lucknow,26.85,80.92,26.0,8.38,,nasa_power,nasa_power,nasa_power,,28.3,14.65
20160111,Lucknow,26.85,80.92,25.62,10.83,,nasa_power,nasa_power,nasa_power,,29.09,13.28
20160112,Lucknow,26.85,80.92,26.05,12.02,,nasa_power,nasa_power,nasa_power,,29.77,12.89
20160113,Lucknow,26.85,80.92,27.93,10.68,,nasa_power,nasa_power,nasa_power,,31.07,10.56
20160114,Lucknow,26.85,80.92,26.98,11.25,,nasa_power,nasa_power,nasa_power,,36.19,11.84
20160115,Lucknow,26.85,80.92,25.79,11.16,,nasa_power,nasa_power,nasa_power,,34.03,8.75
20160116,Lucknow,26.85,80.92,24.57,7.97,,nasa_power,nasa_power,nasa_power,,30.23,8.9
20160117,Lucknow,26.85,80.92,22.99,6.74,,nasa_power,nasa_power,nasa_power,,29.85,8.49
20160118,Lucknow,26.85,80.92,24.14,8.56,,nasa_power,nasa_power,nasa_power,,24.47,9.06
20160119,Lucknow,26.85,80.92,22.85,10.17,,nasa_power,nasa_power,nasa_power,,40.4,0.93
20160120,Lucknow,26.85,80.92,20.32,8.11,,nasa_power,nasa_power,nasa_power,,61.62,10.44
20160121,Lucknow,26.85,80.92,21.82,6.37,,nasa_power,nasa_power,nasa_power,,37.62,5.69
20160122,Lucknow,26.85,80.92,21.75,4.15,,nasa_power,nasa_power,nasa_power,,29.73,10.68
20160123,Lucknow,26.85,80.92,22.68,5.15,,nasa_power,nasa_power,nasa_power,,28.52,12.99
20160124,Lucknow,26.85,80.92,24.38,5.61,,nasa_power,nasa_power,nasa_power,,28.59,13.91
20160125,Lucknow,26.85,80.92,24.25,7.1,,nasa_power,nasa_power,nasa_power,,28.57,14.75
20160126,Lucknow,26.85,80.92,24.91,8.85,,nasa_power,nasa_power,nasa_power,,26.47,14.28
20160127,Lucknow,26.85,80.92,25.62,8.84,,nasa_power,nasa_power,nasa_power,,25.52,13.86
20160128,Lucknow,26.85,80.92,26.97,10.33,,nasa_power,nasa_power,nasa_power,,26.78,13.79
20160129,Lucknow,26.85,80.92,28.28,11.49,,nasa_power,nasa_power,nasa_power,,29.15,11.88
20160130,Lucknow,26.85,80.92,30.11,13.05,,nasa_power,nasa_power,nasa_power,,34.15,13.13
20160131,Lucknow,26.85,80.92,30.55,13.35,,nasa_power,nasa_power,nasa_power,,39.8,13.82
20160201,Lucknow,26.85,80.92,28.27,15.63,,nasa_power,nasa_power,nasa_power,,27.3,11.86
20160202,Lucknow,26.85,80.92,27.05,10.99,,nasa_power,nasa_power,nasa_power,,21.0,14.81
20160203,Lucknow,26.85,80.92,25.64,7.85,,nasa_power,nasa_power,nasa_power,,21.28,17.61
20160204,Lucknow,26.85,80.92,26.55,7.37,,nasa_power,nasa_power,nasa_power,,23.2,16.87
20160205,Lucknow,26.85,80.92,27.59,9.31,,nasa_power,nasa_power,nasa_power,,22.08,15.74
20160206,Lucknow,26.85,80.92,25.88,12.53,,nasa_power,nasa_power,nasa_power,,20.2,13.13
20160207,Lucknow,26.85,80.92,27.74,11.05,,nasa_power,nasa_power,nasa_power,,24.33,10.43
20160208,Lucknow,26.85,80.92,27.3,8.85,,nasa_power,nasa_power,nasa_power,,34.49,12.24
20160209,Lucknow,26.85,80.92,27.56,10.59,,nasa_power,nasa_power,nasa_power,,38.3,14.51
20160210,Lucknow,26.85,80.92,27.91,10.33,,nasa_power,nasa_power,nasa_power,,33.26,15.56
20160211,Lucknow,26.85,80.92,29.23,12.32,,nasa_power,nasa_power,nasa_power,,25.89,15.55
20160212,Lucknow,26.85,80.92,29.49,13.46,,nasa_power,nasa_power,nasa_power,,24.11,16.87
20160213,Lucknow,26.85,80.92,30.71,12.36,,nasa_power,nasa_power,nasa_power,,23.79,16.75
