date,state,latitude,longitude,temp_max,temp_min,temp_mean,temp_max_source,temp_min_source,temp_mean_source,precipitation,humidity,solar_radiation
20151016,Patna,25.6,85.1,33.0,22.38,,nasa_power,nasa_power,nasa_power,,64.41,17.29
20151017,Patna,25.6,85.1,34.34,21.38,,nasa_power,nasa_power,nasa_power,,55.64,16.88
20151018,Patna,25.6,85.1,34.68,20.96,,nasa_power,nasa_power,nasa_power,,56.12,17.22
20151019,Patna,25.6,85.1,34.57,21.51,,nasa_power,nasa_power,nasa_power,,56.16,17.09
20151020,Patna,25.6,85.1,35.23,21.22,,nasa_power,nasa_power,nasa_power,,54.47,15.91
20151021,Patna,25.6,85.1,34.72,21.45,,nasa_power,nasa_power,nasa_power,,55.75,15.53
20151022,Patna,25.6,85.1,34.99,20.52,,nasa_power,nasa_power,nasa_power,,53.24,15.47
20151023,Patna,25.6,85.1,33.71,18.85,,nasa_power,nasa_power,nasa_power,,45.37,16.41
20151024,Patna,25.6,85.1,34.08,17.86,,nasa_power,nasa_power,nasa_power,,37.29,17.3
20151025,Patna,25.6,85.1,33.82,17.05,,nasa_power,nasa_power,nasa_power,,42.44,17.45
20151026,Patna,25.6,85.1,33.53,18.61,,nasa_power,nasa_power,nasa_power,,44.73,17.87
20151027,Patna,25.6,85.1,33.2,18.98,,nasa_power,nasa_power,nasa_power,,47.95,16.43
20151028,Patna,25.6,85.1,32.86,18.39,,nasa_power,nasa_power,nasa_power,,49.02,16.38
20151029,Patna,25.6,85.1,30.19,18.85,,nasa_power,nasa_power,nasa_power,,56.49,13.49
20151030,Patna,25.6,85.1,29.84,17.29,,nasa_power,nasa_power,nasa_power,,64.43,9.7
20151031,Patna,25.6,85.1,32.09,17.67,,nasa_power,nasa_power,nasa_power,,59.16,16.94
20151101,Patna,25.6,85.1,32.46,20.04,,nasa_power,nasa_power,nasa_power,,54.5,16.24
20151102,Patna,25.6,85.1,32.74,19.78,,nasa_power,nasa_power,nasa_power,,57.65,17.05
20151103,Patna,25.6,85.1,32.88,19.7,,nasa_power,nasa_power,nasa_power,,53.47,15.67
20151104,Patna,25.6,85.1,32.34,19.21,,nasa_power,nasa_power,nasa_power,,48.02,14.64
20151105,Patna,25.6,85.1,32.8,18.88,,nasa_power,nasa_power,nasa_power,,47.12,12.86
20151106,Patna,25.6,85.1,33.13,18.77,,nasa_power,nasa_power,nasa_power,,48.27,12.73
20151107,Patna,25.6,85.1,32.52,19.16,,nasa_power,nasa_power,nasa_power,,50.2,13.11
20151108,Patna,25.6,85.1,32.3,18.16,,nasa_power,nasa_power,nasa_power,,44.47,14.24
20151109,Patna,25.6,85.1,32.27,18.16,,nasa_power,nasa_power,nasa_power,,45.58,14.52
20151110,Patna,25.6,85.1,32.2,18.59,,nasa_power,nasa_power,nasa_power,,43.84,14.06
20151111,Patna,25.6,85.1,32.43,17.81,,nasa_power,nasa_power,nasa_power,,47.11,14.83
20151112,Patna,25.6,85.1,31.96,17.48,,nasa_power,nasa_power,nasa_power,,45.11,12.59
20151113,Patna,25.6,85.1,31.49,16.06,,nasa_power,nasa_power,nasa_power,,41.18,12.59
20151114,Patna,25.6,85.1,31.29,17.34,,nasa_power,nasa_power,nasa_power,,43.88,11.97
